Time,Datapoint
2013-08-28 0:8:5,89.5522,0
2013-08-28 0:8:5,89.5522,0
2013-08-28 0:8:6,89.5522,0
2013-08-28 0:8:7,88.2353,0
2013-08-28 0:8:9,90.9091,1
2013-08-28 0:8:10,89.5522,0
2013-08-28 0:8:11,90.9091,0
2013-08-28 0:8:11,92.3077,0
2013-08-28 0:8:12,92.3077,0
2013-08-28 0:8:13,85.7143,0
2013-08-28 0:8:13,78.9474,0
2013-08-28 0:8:14,80,0
2013-08-28 0:8:15,82.1918,0
2013-08-28 0:8:16,83.3333,0
2013-08-28 0:8:16,81.0811,0
2013-08-28 0:8:17,81.0811,0
2013-08-28 0:8:18,83.3333,0
2013-08-28 0:8:18,84.507,0
2013-08-28 0:8:19,83.3333,0
2013-08-28 0:8:20,83.3333,0
2013-08-28 0:8:21,84.507,0
2013-08-28 0:8:21,83.3333,0
2013-08-28 0:8:22,85.7143,0
2013-08-28 0:8:23,86.9565,0
2013-08-28 0:8:23,86.9565,0
2013-08-28 0:8:24,90.9091,0
2013-08-28 0:8:25,90.9091,0
2013-08-28 0:8:25,90.9091,0
2013-08-28 0:8:26,92.3077,0
2013-08-28 0:8:27,95.2381,0
2013-08-28 0:8:27,93.75,0
2013-08-28 0:8:28,95.2381,0
2013-08-28 0:8:29,95.2381,0
2013-08-28 0:8:29,95.2381,0
2013-08-28 0:8:30,93.75,0
2013-08-28 0:8:31,93.75,0
2013-08-28 0:8:31,86.9565,0
2013-08-28 0:8:32,84.507,0
2013-08-28 0:8:33,81.0811,0
2013-08-28 0:8:33,78.9474,0
2013-08-28 0:8:34,80,0
2013-08-28 0:8:35,81.0811,0
2013-08-28 0:8:36,82.1918,0
2013-08-28 0:8:36,80,0
2013-08-28 0:8:37,78.9474,0
2013-08-28 0:8:38,80,0
2013-08-28 0:8:39,82.1918,0
2013-08-28 0:8:39,85.7143,0
2013-08-28 0:8:40,86.9565,0
2013-08-28 0:8:41,89.5522,0
2013-08-28 0:8:41,90.9091,0
2013-08-28 0:8:42,89.5522,0
2013-08-28 0:8:43,86.9565,0
2013-08-28 0:8:43,78.9474,0
2013-08-28 0:8:44,75.9494,0
2013-08-28 0:8:46,72.2892,1
2013-08-28 0:8:47,73.1707,0
2013-08-28 0:8:47,75,0
2013-08-28 0:8:48,76.9231,0
2013-08-28 0:8:49,76.9231,0
2013-08-28 0:8:50,75.9494,0
2013-08-28 0:8:51,75.9494,0
2013-08-28 0:8:51,68.9655,0
2013-08-28 0:8:53,68.1818,1
2013-08-28 0:8:54,68.9655,0
2013-08-28 0:8:55,71.4286,0
2013-08-28 0:8:56,74.0741,0
2013-08-28 0:8:56,75.9494,0
2013-08-28 0:8:57,77.9221,0
2013-08-28 0:8:58,77.9221,0
2013-08-28 0:8:59,69.7674,0
2013-08-28 0:9:2,67.4157,1
2013-08-28 0:9:3,69.7674,0
2013-08-28 0:9:3,68.9655,0
2013-08-28 0:9:4,63.8298,0
2013-08-28 0:9:5,63.8298,0
2013-08-28 0:9:6,61.8557,0
2013-08-28 0:9:7,63.1579,0
2013-08-28 0:9:8,67.4157,0
2013-08-28 0:9:9,66.6667,0
2013-08-28 0:9:10,67.4157,0
2013-08-28 0:9:11,72.2892,0
2013-08-28 0:9:12,75.9494,0
2013-08-28 0:9:12,80,0
2013-08-28 0:9:13,78.9474,0
2013-08-28 0:9:14,76.9231,0
2013-08-28 0:9:15,76.9231,0
2013-08-28 0:9:15,81.0811,0
2013-08-28 0:9:16,83.3333,0
2013-08-28 0:9:18,85.7143,1
2013-08-28 0:9:18,81.0811,0
2013-08-28 0:9:19,75.9494,0
2013-08-28 0:9:20,74.0741,0
2013-08-28 0:9:21,75.9494,0
2013-08-28 0:9:21,77.9221,0
2013-08-28 0:9:22,75.9494,0
2013-08-28 0:9:23,76.9231,0
2013-08-28 0:9:24,71.4286,0
2013-08-28 0:9:25,71.4286,0
2013-08-28 0:9:25,73.1707,0
2013-08-28 0:9:26,75,0
2013-08-28 0:9:27,76.9231,0
2013-08-28 0:9:28,75,0
2013-08-28 0:9:29,72.2892,0
2013-08-28 0:9:29,74.0741,0
2013-08-28 0:9:30,77.9221,0
2013-08-28 0:9:31,81.0811,0
2013-08-28 0:9:32,81.0811,0
2013-08-28 0:9:33,82.1918,0
2013-08-28 0:9:33,76.9231,0
2013-08-28 0:9:34,69.7674,0
2013-08-28 0:9:35,72.2892,0
2013-08-28 0:9:36,75,0
2013-08-28 0:9:37,71.4286,0
2013-08-28 0:9:37,71.4286,0
2013-08-28 0:9:38,73.1707,0
2013-08-28 0:9:39,74.0741,0
2013-08-28 0:9:40,73.1707,0
2013-08-28 0:9:41,70.5882,0
2013-08-28 0:9:41,68.1818,0
2013-08-28 0:9:42,68.9655,0
2013-08-28 0:9:43,71.4286,0
2013-08-28 0:9:44,71.4286,0
2013-08-28 0:9:45,68.9655,0
2013-08-28 0:9:46,69.7674,0
